X,list_ID,common_name,scientific_name,date,time,count,duration,location,latitude,longitude,count_tot,month,year
147,S82037948,Canada Goose,Branta canadensis,2021-02-20,05:15 PM,200,4,US-OK,35.9664503,-95.4937384,696,2,2021
24,S37097000,Canada Goose,Branta canadensis,2017-05-23,02:06 PM,1,50,US-VT,44.097019,-73.342045100000007,44,5,2017
249,S74645100,Blue-winged Teal,Spatula discors,2020-10-10,11:36 AM,60,7,US-OK,36.215678,-95.933325,219,10,2020
222,S111728537,Blue-winged Teal,Spatula discors,2022-05-30,08:08 AM,1,302,US-OK,36.850766,-102.8821564,100,5,2022
444,S82037948,Mallard,Anas platyrhynchos,2021-02-20,05:15 PM,250,4,US-OK,35.9664503,-95.4937384,696,2,2021
312,S54632771,Mallard,Anas platyrhynchos,2019-04-06,11:20 AM,1,122,US-OK,36.2081998,-96.0600758,40,4,2019
